"Date","State","City","Cause","Description","Gender","Age","Age demographic","MFI","Disability","Residential building type","Smoke alarms","Media URL"
"01/15/2022","NY","Corning, Steuben County","Under investigation","One person died in a house fire.","Unknown","Unknown","Unknown","","N","1 & 2 family
","Not reported","https://www.fingerlakes1.com/2022/01/18/one-dead-after-structure-fire-in-corning-firefighters-say-clutter-made-battling-blaze-difficult/"
"01/13/2022","NY","West Deptford","Under investigation","A 54-year-old woman died in a house fire.","Female","54","Unknown","","N","1 & 2 family
","Not reported","https://bronx.news12.com/police-1-dead-4-injured-following-thursday-house-fire-in-west-deptford"
"01/12/2022","NY","Sherman","Under investigation","A 1-year-old boy died during a house fire.","Male","1","Children (14 and under)","","N","Not reported","Not reported","https://www.post-journal.com/news/page-one/2022/01/a-tragedy-1-year-old-killed-in-sherman-house-fire/"
"01/09/2022","NY","New York (Bronx)","Heating","17 people died in an apartment building fire.","Female","5","Children (14 and under)","1 of 17","N","Multifamily","Not reported","https://www.fox5ny.com/news/bronx-fire-vigil-held-to-remember-victims"
"01/09/2022","NY","New York (Bronx)","Heating","17 people died in an apartment building fire.","Female","43","Unknown","2 of 17","N","Multifamily","Not reported","https://www.fox5ny.com/news/bronx-fire-vigil-held-to-remember-victims"
"01/09/2022","NY","New York (Bronx)","Heating","17 people died in an apartment building fire.","Female","11","Children (14 and under)","3 of 17","N","Multifamily","Not reported","https://www.fox5ny.com/news/bronx-fire-vigil-held-to-remember-victims"
"01/09/2022","NY","New York (Bronx)","Heating","17 people died in an apartment building fire.","Female","50","Unknown","4 of 17","N","Multifamily","Not reported","https://www.fox5ny.com/news/bronx-fire-vigil-held-to-remember-victims"
"01/09/2022","NY","New York (Bronx)","Heating","17 people died in an apartment building fire.","Male","12","Children (14 and under)","5 of 17","N","Multifamily","Not reported","https://www.fox5ny.com/news/bronx-fire-vigil-held-to-remember-victims"
"01/09/2022","NY","New York (Bronx)","Heating","17 people died in an apartment building fire.","Male","12","Children (14 and under)","6 of 17","N","Multifamily","Not reported","https://www.fox5ny.com/news/bronx-fire-vigil-held-to-remember-victims"
"01/09/2022","NY","New York (Bronx)","Heating","17 people died in an apartment building fire.","Male","49","Unknown","7 of 17","N","Multifamily","Not reported","https://www.fox5ny.com/news/bronx-fire-vigil-held-to-remember-victims"
